NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Table en Bois;Vuorenlahdenkatu 38;40900;Säynätsalo;Jyväskylä;02.04.2012;Anniskelu A, kaikki alkoholijuomat;N/A
Tackork Gård & Marina;Tackorkintie 31;21660;Nauvo;PARAINEN;07.05.2020;Ann.lupa sis. vähittäismyynnin;2870585-4
Taco Bell Bakers;Kalevankatu 2;00100;Helsinki;Helsinki;28.03.2018;Ann.lupa sis. vähittäismyynnin;2829713-3
Taco Bell Dixi;Ratatie 11;01300;Vantaa;Vantaa;14.08.2018;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Finnoo;Finnoonristi 3;02270;Espoo;Espoo;02.05.2022;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Flamingo;Tasetie 8;01510;Vantaa;Vantaa;01.03.2019;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Hansa;Eerikinkatu 15;20100;Turku;Turku;01.09.2019;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Iso Omena;Piispansilta 9;02230;Espoo;Espoo;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Itis;Itäkatu 1-5 LT 2501;00930;Helsinki;Helsinki;20.07.2018;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Jyväskylä;Kauppakatu 22;40100;Jyväskylä;Jyväskylä;05.11.2021;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Kamppi Helsinki;Urho Kekkosen katu 1, E.32K.02;00100;Helsinki;Helsinki;20.05.2021;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Lappeenranta;Kauppakatu 29-31;53100;Lappeenranta;Lappeenranta;01.06.2019;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Nihtisilta;Nihtisilta 4;02360;Espoo;Espoo;01.07.2019;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Oulu;Kirkkokatu 14;90100;Oulu;Oulu;15.06.2021;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Sello;Leppävaarankatu 3-9;02600;Espoo;Espoo;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Tampere;Hatanpään valtatie 1;33100;Tampere;Tampere;01.11.2021;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Tennispalatsi;Fredrikinkatu 65;00100;Helsinki;Helsinki;15.04.2019;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Bell Tuusula;Hyrylänkatu 2;04300;Tuusula;Tuusula;10.11.2021;Anniskelu A, kaikki alkoholijuomat;2829713-3
Taco Nito;Aurakatu 3;20100;Turku;Turku;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2520016-4
Tadim Kebab Pizzeria;Hirsitie 2;21530;Paimio;Paimio;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Tahko Juhannus 2023;Tahko Event Park Tahkovuorent.;73310;Tahkovuori;Kuopio;22.06.2023;Määräaikainen A, kaikki alkoholijuomat;1041605-0
Tahko Pesis Ravintola;Urheilukatu 19;05800;Hyvinkää;Hyvinkää;01.05.2019;Anniskelu A, kaikki alkoholijuomat;2860476-2
Tahko Spa;Keitaankatu 1;73310;Tahkovuori;Kuopio;18.06.2018;Anniskelu A, kaikki alkoholijuomat;1823652-1
Tahko Spa noutopiste;Keitaankatu 1;73300;Nilsiä;Kuopio;12.07.2019;Luovutuspaikka;1505551-4
Tahkon Tapahtumakeskus;Sääskiniementie 388;73310;Tahkovuori;Kuopio;13.08.2021;Anniskelu A, kaikki alkoholijuomat;3207618-1
Tai Hing Asian Cuisine;Kirkkokatu 9;48100;Kotka;Kotka;13.11.2014;Anniskelu A, kaikki alkoholijuomat;2060033-7
Taica Ravintola;Keskuskatu 16 B;76100;Pieksämäki;Pieksämäki;26.03.2021;Anniskelu A, kaikki alkoholijuomat;N/A
Taidegalleria GalleriAri;Kasarminkatu 3;50100;Mikkeli;Mikkeli;02.05.2019;Ann.lupa sis. vähittäismyynnin;2354343-8
Taidekahvila Shamaani;Ivalontie 10;99800;Ivalo;Inari;06.01.2022;Anniskelu A, kaikki alkoholijuomat;N/A
Taidekeskus Taarasti;Taarastintie 6;15560;Nastola;Lahti;20.09.1995;Anniskelu A, kaikki alkoholijuomat;0310973-0
Taiga;Vaeltajantie 2;95980;Ylläsjärvi;Kolari;30.03.2021;Ann.lupa sis. vähittäismyynnin;2199747-9
Taikalinna Jättiläisenmaa;Kivesvaarantie 40;88300;Paltamo;Paltamo;01.12.2021;Ann.lupa sis. vähittäismyynnin;2707535-2
Taikasaari;Lammassaari;90100;Oulu;Oulu;26.08.2023;Määräaikainen A, kaikki alkoholijuomat;3180791-5
Taikayön lomat;Kajaniementie 79;31720;Urjalankylä;Urjala;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2596121-1
Taimon Krouvi;Nuhjalantie 8;21110;Naantali;Naantali;09.02.1996;Anniskelu A, kaikki alkoholijuomat;0974864-8
